,Summary,Start Time,End Time,Date
91,饮用水与健康,08:00:00,11:45:00,2022/07/14
92,基于java EE平台的软件开发,10:00:00,11:45:00,2022/07/08
93,体育,13:45:00,15:30:00,2023/02/23
94,人工智能导论(实验),08:00:00,11:45:00,2023/05/26
95,人工智能数学基础(实验),13:45:00,17:30:00,2023/05/13
96,Web开发技术,10:00:00,11:45:00,2023/02/22
97,计算机系统,10:00:00,11:45:00,2023/02/24
98,马克思主义基本原理,15:45:00,17:30:00,2023/03/15
99,形式语言与自动机,13:45:00,15:30:00,2023/02/20
100,形势与政策（2）,13:45:00,15:30:00,2023/04/05
101,计算机系统,08:00:00,09:45:00,2023/02/21
102,计算机系统(实验),10:00:00,11:45:00,2023/04/30
103,人工智能导论(实验),08:00:00,11:45:00,2023/05/19
104,计算机系统(实验),10:00:00,11:45:00,2023/04/16
105,马克思主义基本原理,15:45:00,17:30:00,2023/03/17
106,Web开发技术(实验),18:30:00,20:15:00,2023/03/09
107,计算机组成原理(实验),15:45:00,17:30:00,2023/04/16
108,计算机组成原理,08:00:00,09:45:00,2023/02/24
109,形式语言与自动机,08:00:00,09:45:00,2023/02/23
110,计算机组成原理(实验),15:45:00,17:30:00,2023/04/23
111,计算机系统(实验),10:00:00,11:45:00,2023/04/02
112,马克思主义基本原理(实验),13:45:00,15:30:00,2023/04/07
113,计算机组成原理(实验),15:45:00,17:30:00,2023/03/19
114,计算机组成原理,15:45:00,17:30:00,2023/02/21
115,人工智能数学基础,08:00:00,09:45:00,2023/04/17
116,人工智能数学基础,08:00:00,09:45:00,2023/04/19
117,人工智能数学基础(实验),13:45:00,17:30:00,2023/05/27
118,Web开发技术,15:45:00,17:30:00,2023/02/20
119,翻译实践(提高),10:00:00,11:45:00,2023/02/21
120,人工智能导论,08:00:00,09:45:00,2023/04/20
121,计算机组成原理(实验),15:45:00,17:30:00,2023/04/02
122,人工智能数学基础(实验),13:45:00,17:30:00,2023/06/10
123,人工智能导论,10:00:00,11:45:00,2023/04/17
124,计算机系统(实验),10:00:00,11:45:00,2023/03/05
125,人工智能数学基础(实验),13:45:00,17:30:00,2023/04/29
