交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,饭点课程_早,饭点课程_午,饭点课程_晚
3.7,学苑食堂副食三组,2023-03-21,7:49,2,0,7,739.7,752.3,71,6,1,1679356140,1,1,0
12.8,阳光小是小简餐,2023-03-20,17:28,1,0,14,740.0,752.3,39,6,0,1679304480,0,1,0
14.0,美食林那小味面馆,2023-03-19,18:25,7,1,8,743.5,756.2,21,4,0,1679221500,0,0,0
15.6,紫丁香餐吧机器人收银组,2023-03-19,11:56,7,1,14,746.6,759.0,20,6,0,1679198160,0,0,0
11.1,美食林小猪憨尼麻辣烫,2023-03-17,17:11,5,0,5,749.9,762.8,28,7,0,1679044260,0,0,0
6.0,学苑食堂副食三组,2023-03-16,11:50,4,0,-1,754.0,767.3,64,7,0,1678938600,0,1,1
10.0,学苑食堂包子,2023-03-15,17:31,3,0,-3,749.5,762.8,80,4,0,1678872660,1,1,0
19.4,紫丁香餐吧机器人收银组,2023-03-15,11:58,3,0,-1,746.6,759.7,69,8,0,1678852680,1,1,0
3.6,学苑食堂副食三组,2023-03-15,7:56,3,0,-4,744.9,758.2,100,5,1,1678838160,1,1,0
32.0,美食林肠粉,2023-03-14,17:20,2,0,1,742.4,755.4,51,5,0,1678785600,1,1,0
6.7,学苑食堂副食三组,2023-03-14,7:50,2,0,-4,745.7,759.0,54,3,0,1678751400,1,1,0
32.0,美食林肠粉,2023-03-13,11:52,1,0,0,748.1,761.2,25,3,0,1678679520,0,1,0
29.14,淘乐水果捞店,2023-03-12,15:22,7,1,-2,753.3,766.6,34,5,0,1678605720,0,0,0
14.0,美食林阿咪酱骨扒肉,2023-03-12,12:45,7,1,-2,754.0,767.3,34,4,0,1678596300,0,0,0
17.9,紫丁香餐吧机器人收银组,2023-03-11,12:25,6,1,3,757.3,770.4,17,9,0,1678508700,0,0,0
9.72,淘乐水果捞店,2023-03-10,22:27,5,0,6,749.1,762.0,39,9,0,1678458420,0,0,0
10.5,学苑食堂副食三组,2023-03-10,17:41,5,0,12,742.1,754.6,47,6,0,1678441260,0,0,0
10.0,学院食堂陕西名小吃,2023-03-10,11:22,5,0,10,745.1,757.7,40,5,0,1678418520,0,0,0
13.0,美食林阿咪酱骨扒肉,2023-03-09,11:46,4,0,9,744.3,756.9,37,4,0,1678333560,0,1,1
9.82,淘乐水果捞店,2023-03-08,21:58,3,0,-2,747.3,760.5,80,2,0,1678283880,1,1,0
12.73,美食林小猪憨尼麻辣烫,2023-03-08,17:27,3,0,2,750.4,763.5,65,3,0,1678267620,1,1,0
25.0,学苑食堂副食三组,2023-03-07,17:24,2,0,4,741.8,754.6,65,7,1,1678181040,1,0,0
12.0,美食林老上客砂锅,2023-03-07,11:15,2,0,5,742.6,755.4,76,5,1,1678158900,1,0,0
10.0,学院食堂陕西名小吃,2023-03-05,12:13,7,1,11,747.9,760.5,47,11,0,1677989580,0,0,0
5.1,学苑食堂副食三组,2023-03-04,17:55,6,1,4,755.8,768.9,48,3,0,1677923700,0,0,0
10.0,学院食堂陕西名小吃,2023-03-04,17:26,6,1,7,756.0,768.9,37,3,0,1677921960,0,0,0
31.0,美食林东农豆坊,2023-03-04,14:56,6,1,9,756.8,769.6,32,5,0,1677912960,0,0,0
11.0,美食林榆林镇筋饼,2023-03-04,11:43,6,1,7,757.5,770.4,37,5,0,1677901380,0,0,0
16.0,美食林肠粉,2023-03-03,11:37,5,0,1,754.9,768.1,48,2,0,1677814620,0,0,0
12.0,民族餐厅金家店,2023-03-02,11:51,4,0,-4,750.1,763.5,63,9,0,1677729060,0,1,1
5.0,学苑食堂包子,2023-03-02,9:22,4,0,-7,752.3,765.8,73,6,0,1677720120,0,1,1
13.0,美食林蜀香麻辣烫(川香麻辣烫),2023-03-01,17:04,3,0,-4,752.4,765.8,86,5,0,1677661440,1,1,0
4.2,学苑食堂副食三组,2023-03-01,7:42,3,0,-5,749.4,762.8,93,3,1,1677627720,1,1,0
26.0,美食林阿咪酱骨扒肉,2023-02-28,17:26,2,0,0,752.6,765.8,60,3,0,1677576360,1,0,0
28.0,学苑食堂副食三组,2023-02-28,11:51,2,0,0,751.1,764.3,69,7,0,1677556260,1,0,0
3.7,学苑食堂副食三组,2023-02-28,7:52,2,0,-3,747.9,761.2,80,7,0,1677541920,1,0,0
6.18,淘乐水果捞店,2023-02-27,21:33,1,0,5,746.2,759.0,53,8,1,1677504780,0,1,0
24.4,紫丁香餐吧机器人收银组,2023-02-27,11:57,1,0,8,750.0,762.8,37,11,1,1677470220,0,1,0
14.0,美食林那小味面馆,2023-02-26,11:31,7,1,3,759.5,772.7,41,5,0,1677382260,0,0,0
9.9,淘乐水果捞店,2023-02-25,18:18,6,1,-2,759.3,772.7,51,3,0,1677320280,0,0,0
19.4,紫丁香餐吧机器人收银组,2023-02-25,17:54,6,1,-2,759.3,772.7,51,3,0,1677318840,0,0,0
26.53,淘乐水果捞店,2023-02-25,13:30,6,1,-1,759.3,772.7,43,6,0,1677303000,0,0,0
17.0,民族餐厅铁板料理,2023-02-24,11:36,5,0,-5,757.6,771.1,63,6,0,1677209760,0,0,0
26.0,美食林阿咪酱骨扒肉,2023-02-23,11:50,4,0,-3,752.5,765.8,59,4,0,1677124200,0,1,1
13.8,阳光副食二组,2023-02-22,17:06,3,0,-2,751.7,765.0,59,3,0,1677056760,1,1,0
19.6,紫丁香餐吧机器人收银组,2023-02-22,11:55,3,0,-3,753.2,766.6,64,6,0,1677038100,1,1,0
4.7,学苑食堂副食三组,2023-02-22,7:47,3,0,-9,753.6,767.3,57,5,0,1677023220,1,1,0
26.0,美食林阿咪酱骨扒肉,2023-02-21,11:44,2,0,-7,762.5,776.2,49,5,0,1676951040,1,0,0
21.0,美食林阿咪酱骨扒肉,2023-02-20,17:22,1,0,-9,758.9,772.7,62,3,0,1676884920,0,1,0
19.4,紫丁香餐吧机器人收银组,2023-02-20,11:57,1,0,-8,755.9,769.6,68,4,0,1676865420,0,1,0
14.39,淘乐水果捞店,2023-02-19,19:18,7,1,-11,749.1,762.8,67,2,0,1676805480,0,0,0
11.0,民族餐厅山西饸饹面,2023-02-19,18:46,7,1,-11,749.1,762.8,67,2,0,1676803560,0,0,0
14.0,学苑食堂副食一组,2023-02-17,11:10,5,0,-8,752.2,765.8,68,4,0,1676603400,0,0,0
9.0,美食林阿咪酱骨扒肉,2023-02-16,18:05,4,0,-7,750.8,764.3,68,4,0,1676541900,0,0,0
12.0,美食林阿咪酱骨扒肉,2023-02-16,11:42,4,0,-7,753.0,766.6,58,4,0,1676518920,0,0,0
14.0,学苑食堂副食一组,2023-02-15,17:48,3,0,-13,759.9,773.9,61,3,0,1676454480,0,0,0
14.0,美食林老上客砂锅,2023-02-15,11:15,3,0,-12,763.0,777.0,56,2,0,1676430900,0,0,0
10.5,学苑食堂包子,2023-02-14,17:32,2,0,-14,762.1,776.2,66,3,0,1676367120,0,0,0
16.4,紫丁香餐吧机器人收银组,2023-02-14,11:11,2,0,-11,760.8,774.7,62,6,0,1676344260,0,0,0
13.0,学苑食堂铁锅焖面,2023-02-13,17:29,1,0,-9,755.2,768.9,62,4,0,1676280540,0,0,0
17.4,紫丁香餐吧机器人收银组,2023-02-13,11:06,1,0,-12,756.5,770.4,79,4,1,1676257560,0,0,0
14.0,民族餐厅金家店,2023-02-12,16:42,7,1,-9,758.1,771.9,73,3,0,1676191320,0,0,0
15.98,美食林小猪憨尼麻辣烫,2023-02-12,11:24,7,1,-11,759.5,773.4,79,2,1,1676172240,0,0,0
12.0,美食林老上客砂锅,2023-02-11,11:21,6,1,-3,747.9,761.2,80,5,1,1676085660,0,0,0
12.0,学苑食堂香恋香拌砂锅,2023-02-10,11:29,5,0,-3,748.7,762.0,93,5,1,1675999740,0,0,0
8.0,学苑食堂副食三组,2023-02-09,17:34,4,0,-7,754.5,768.1,63,2,0,1675935240,0,0,0
28.0,学苑食堂香恋香拌砂锅,2023-02-08,17:21,3,0,-8,756.7,770.4,58,2,0,1675848060,0,0,0
14.0,美食林老上客砂锅,2022-12-03,18:06,6,1,-18,753.9,768.1,65,2,0,1670061960,0,0,0
6.0,民族餐厅德澳士,2022-12-03,14:02,6,1,-13,754.2,768.1,47,7,0,1670047320,0,0,0
11.0,民族餐厅山西饸饹面,2022-12-03,13:54,6,1,-13,754.2,768.1,47,7,0,1670046840,0,0,0
13.0,民族餐厅金家店,2022-12-02,19:32,5,0,-12,748.3,762.0,61,4,0,1669980720,0,1,1
8.0,学苑食堂包子,2022-12-02,12:09,5,0,-9,750.7,764.3,53,8,0,1669954140,0,1,1
11.0,美食林老上客砂锅,2022-12-01,18:54,4,0,-20,754.6,768.9,65,3,0,1669892040,1,1,0
7.0,学苑食堂副食三组,2022-12-01,12:36,4,0,-14,754.9,768.9,51,6,0,1669869360,1,1,0
13.0,民族餐厅金家店,2022-11-30,18:06,3,0,-19,754.7,768.9,65,4,0,1669802760,0,1,0
15.0,学苑食堂香恋香拌砂锅,2022-11-30,12:35,3,0,-15,754.1,768.1,51,9,0,1669782900,0,1,0
11.0,学苑食堂包子,2022-11-29,12:11,2,0,-12,749.7,763.5,85,9,1,1669695060,1,0,0
8.0,美食林真牛铁板,2022-11-28,16:51,1,0,-9,749.9,763.5,86,5,0,1669625460,0,0,0
12.0,美食林老上客砂锅,2022-11-28,16:39,1,0,-9,749.9,763.5,86,5,0,1669624740,0,0,0
10.0,学苑食堂副食三组,2022-11-28,12:11,1,0,-6,750.8,764.3,80,6,0,1669608660,0,0,0
12.24,阳光副食二组,2022-11-26,17:18,6,1,-10,749.8,763.5,67,3,0,1669454280,0,0,0
14.65,美食林小猪憨尼麻辣烫,2022-11-25,17:38,5,0,-4,739.9,753.1,93,6,1,1669369080,0,1,1
11.0,学苑食堂包子,2022-11-25,12:11,5,0,0,739.3,752.3,87,4,1,1669349460,0,1,1
17.0,学苑食堂香恋香拌砂锅,2022-11-24,18:32,4,0,0,745.1,758.2,93,4,1,1669285920,1,1,0
15.0,阳光川蜀源烤鱼,2022-11-24,12:13,4,0,1,748.1,761.2,56,4,0,1669263180,1,1,0
