Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
毛泽东思想和中国特色社会主义理论体系概论,2022/9/30,2022/10/6,Friday,13:45,15:15,第5 - 6节,正心34,王海荣
毛泽东思想和中国特色社会主义理论体系概论(实验),2022/10/21,2022/10/27,Friday,18:30,20:15,第9 - 10节,正心106,王海荣
软件工程专业导论,2022/10/20,2022/12/14,Thursday,8:00,9:45,第1 - 2节,正心324,徐晓飞
需求分析与系统设计,2022/10/20,2022/10/26,Thursday,15:45,17:25,第7 - 8节,致知14,范国祥
需求分析与系统设计,2022/11/3,2022/11/9,Thursday,15:45,17:25,第7 - 8节,致知14,范国祥
需求分析与系统设计,2022/11/17,2022/11/23,Thursday,15:45,17:25,第7 - 8节,致知14,范国祥
需求分析与系统设计,2022/12/1,2022/12/7,Thursday,15:45,17:25,第7 - 8节,致知14,范国祥
策略思维——带你走进博弈的奇妙世界,2022/9/3,2022/9/9,Saturday,13:45,17:25,第5 - 8节,正心728,叶蔓
策略思维——带你走进博弈的奇妙世界,2022/9/10,2022/9/16,Saturday,13:45,17:25,第5 - 8节,正心728,叶蔓
策略思维——带你走进博弈的奇妙世界,2022/9/17,2022/9/23,Saturday,13:45,17:25,第5 - 8节,正心728,叶蔓
策略思维——带你走进博弈的奇妙世界,2022/9/24,2022/9/30,Saturday,13:45,17:25,第5 - 8节,正心728,叶蔓
策略思维——带你走进博弈的奇妙世界,2022/10/1,2022/10/7,Saturday,13:45,17:25,第5 - 8节,正心728,叶蔓
策略思维——带你走进博弈的奇妙世界,2022/10/8,2022/10/14,Saturday,13:45,17:25,第5 - 8节,正心728,叶蔓
策略思维——带你走进博弈的奇妙世界,2022/10/15,2022/10/21,Saturday,13:45,17:25,第5 - 8节,正心728,叶蔓
策略思维——带你走进博弈的奇妙世界,2022/10/22,2022/10/28,Saturday,13:45,17:25,第5 - 8节,正心728,叶蔓
