,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
44,2021****86,3.5,2023/04/09 09:04,百味佳副食一组,2023-04-09,09:04,1,15,4,1,1681002240.0,-1,-1,-1,-1
45,2021****86,12.0,2023/04/08 18:34,学苑食堂香恋香拌砂锅,2023-04-08,18:34,1,7,3,0,1680950040.0,-1,-1,-1,-1
46,2021****86,18.0,2023/04/08 11:47,学苑食堂副食二组,2023-04-08,11:47,1,7,3,0,1680925620.0,-1,-1,-1,-1
47,2021****86,3.0,2023/04/08 09:17,百味佳副食一组,2023-04-08,09:17,1,7,3,0,1680916620.0,-1,-1,-1,-1
48,2021****86,10.0,2023/04/07 17:31,美食林阿咪酱骨扒肉,2023-04-07,17:31,0,0,2,0,1680859860.0,0,0,0,0
49,2021****86,14.0,2023/04/07 11:49,学苑食堂副食二组,2023-04-07,11:49,0,0,2,0,1680839340.0,0,0,0,0
50,2021****86,1.65,2023/04/07 07:46,学苑食堂副食一组,2023-04-07,07:46,0,0,2,0,1680824760.0,0,0,0,0
51,2021****86,13.73,2023/04/06 17:35,阳光副食二组,2023-04-06,17:35,0,6,3,0,1680773700.0,0,0,0,0
52,2021****86,11.0,2023/04/06 11:32,美食林阿咪酱骨扒肉,2023-04-06,11:32,0,6,3,0,1680751920.0,0,0,0,0
53,2021****86,5.25,2023/04/06 07:45,学苑食堂副食一组,2023-04-06,07:45,0,6,3,0,1680738300.0,0,0,0,0
54,2021****86,13.0,2023/04/05 17:25,美食林老上客砂锅,2023-04-05,17:25,1,7,2,1,1680686700.0,-1,-1,-1,-1
55,2021****86,10.0,2023/04/05 11:40,学苑食堂真牛铁板,2023-04-05,11:40,1,7,2,1,1680666000.0,-1,-1,-1,-1
56,2021****86,12.0,2023/04/04 11:43,美食林川蜀源烤鱼,2023-04-04,11:43,0,5,2,0,1680579780.0,0,0,0,0
57,2021****86,19.299999999999997,2023/04/04 07:41,百味佳副食一组,2023-04-04,07:41,0,5,2,0,1680565260.0,0,0,0,0
58,2021****86,12.0,2023/04/02 18:09,学苑食堂香恋香拌砂锅,2023-04-02,18:09,1,15,2,0,1680430140.0,-1,-1,-1,-1
59,2021****86,11.0,2023/04/02 11:48,学苑食堂包子,2023-04-02,11:48,1,15,2,0,1680407280.0,-1,-1,-1,-1
60,2021****86,3.5,2023/04/02 08:41,百味佳副食一组,2023-04-02,08:41,1,15,2,0,1680396060.0,-1,-1,-1,-1
61,2021****86,12.0,2023/04/01 11:34,美食林90后串炒饭,2023-04-01,11:34,1,16,3,0,1680320040.0,-1,-1,-1,-1
62,2021****86,5.0,2023/04/01 07:58,百味佳副食一组,2023-04-01,07:58,1,16,3,0,1680307080.0,-1,-1,-1,-1
63,2021****86,13.58,2023/03/31 17:38,阳光副食二组,2023-03-31,17:38,0,15,3,1,1680255480.0,0,0,0,0
64,2021****86,23.0,2023/03/31 11:26,民族餐厅铁板料理,2023-03-31,11:26,0,15,3,1,1680233160.0,0,0,0,0
65,2021****86,5.1,2023/03/31 07:44,百味佳副食一组,2023-03-31,07:44,0,15,3,1,1680219840.0,0,0,0,0
66,2021****86,13.0,2023/03/30 17:35,美食林美美卤肉饭,2023-03-30,17:35,0,9,4,1,1680168900.0,0,0,0,0
67,2021****86,11.28,2023/03/30 11:45,阳光副食二组,2023-03-30,11:45,0,9,4,1,1680147900.0,0,0,0,0
68,2021****86,3.9,2023/03/30 07:31,百味佳副食一组,2023-03-30,07:31,0,9,4,1,1680132660.0,0,0,0,0
69,2021****86,13.0,2023/03/29 17:35,美食林美美卤肉饭,2023-03-29,17:35,0,13,5,0,1680082500.0,0,0,0,0
70,2021****86,12.0,2023/03/29 11:31,学苑食堂真牛铁板,2023-03-29,11:31,0,13,5,0,1680060660.0,0,0,0,0
71,2021****86,0.95,2023/03/29 09:13,百味佳副食一组,2023-03-29,09:13,0,13,5,0,1680052380.0,0,0,0,0
72,2021****86,15.1,2023/03/28 17:38,美食林小猪憨尼麻辣烫,2023-03-28,17:38,0,6,3,0,1679996280.0,0,0,0,0
73,2021****86,12.0,2023/03/28 11:51,美食林川蜀源烤鱼,2023-03-28,11:51,0,6,3,0,1679975460.0,0,0,0,0
74,2021****86,11.0,2023/03/27 17:28,美食林90后串炒饭,2023-03-27,17:28,0,7,3,0,1679909280.0,0,0,0,0
75,2021****86,12.0,2023/03/27 12:03,美食林川蜀源烤鱼,2023-03-27,12:03,0,7,3,0,1679889780.0,0,0,0,0
76,2021****86,4.35,2023/03/27 09:11,百味佳副食一组,2023-03-27,09:11,0,7,3,0,1679879460.0,0,0,0,0
77,2021****86,12.0,2023/03/26 17:34,一区饺子园主食一组,2023-03-26,17:34,1,1,3,0,1679823240.0,-1,-1,-1,-1
