,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象
59,2021****86,11.0,2023/04/02 11:48,学苑食堂包子,2023-04-02,11:48,1,15,2,
60,2021****86,3.5,2023/04/02 08:41,百味佳副食一组,2023-04-02,08:41,1,15,2,
61,2021****86,12.0,2023/04/01 11:34,美食林90后串炒饭,2023-04-01,11:34,1,16,3,
62,2021****86,5.0,2023/04/01 07:58,百味佳副食一组,2023-04-01,07:58,1,16,3,
63,2021****86,13.58,2023/03/31 17:38,阳光副食二组,2023-03-31,17:38,0,15,3,烟
64,2021****86,23.0,2023/03/31 11:26,民族餐厅铁板料理,2023-03-31,11:26,0,15,3,烟
65,2021****86,5.1,2023/03/31 07:44,百味佳副食一组,2023-03-31,07:44,0,15,3,烟
66,2021****86,13.0,2023/03/30 17:35,美食林美美卤肉饭,2023-03-30,17:35,0,9,4,烟
67,2021****86,11.28,2023/03/30 11:45,阳光副食二组,2023-03-30,11:45,0,9,4,烟
68,2021****86,3.9,2023/03/30 07:31,百味佳副食一组,2023-03-30,07:31,0,9,4,烟
69,2021****86,13.0,2023/03/29 17:35,美食林美美卤肉饭,2023-03-29,17:35,0,13,5,
70,2021****86,12.0,2023/03/29 11:31,学苑食堂真牛铁板,2023-03-29,11:31,0,13,5,
71,2021****86,0.95,2023/03/29 09:13,百味佳副食一组,2023-03-29,09:13,0,13,5,
72,2021****86,15.1,2023/03/28 17:38,美食林小猪憨尼麻辣烫,2023-03-28,17:38,0,6,3,
73,2021****86,12.0,2023/03/28 11:51,美食林川蜀源烤鱼,2023-03-28,11:51,0,6,3,
74,2021****86,11.0,2023/03/27 17:28,美食林90后串炒饭,2023-03-27,17:28,0,7,3,
75,2021****86,12.0,2023/03/27 12:03,美食林川蜀源烤鱼,2023-03-27,12:03,0,7,3,
76,2021****86,4.35,2023/03/27 09:11,百味佳副食一组,2023-03-27,09:11,0,7,3,
77,2021****86,12.0,2023/03/26 17:34,一区饺子园主食一组,2023-03-26,17:34,1,1,3,
78,2021****86,12.0,2023/03/26 12:30,学苑食堂香恋香拌砂锅,2023-03-26,12:30,1,1,3,
79,2021****86,5.0,2023/03/26 08:43,百味佳副食一组,2023-03-26,08:43,1,1,3,
80,2021****86,16.0,2023/03/25 17:49,民族餐厅铁板料理,2023-03-25,17:49,1,-3,3,
81,2021****86,12.0,2023/03/25 11:44,美食林那小味面馆,2023-03-25,11:44,1,-3,3,
82,2021****86,3.0,2023/03/25 09:01,百味佳副食一组,2023-03-25,09:01,1,-3,3,
83,2021****86,11.54,2023/03/24 17:33,美食林小猪憨尼麻辣烫,2023-03-24,17:33,0,-1,1,
84,2021****86,10.0,2023/03/24 11:52,民族餐厅山西饸饹面,2023-03-24,11:52,0,-1,1,
85,2021****86,0.7,2023/03/22 17:37,百味佳副食一组,2023-03-22,17:37,0,4,6,沙
86,2021****86,14.0,2023/03/21 17:35,阳光广式猪脚饭,2023-03-21,17:35,0,10,2,烟
